,rank,name,type,matchs_played,score,profile_name,season,player_id,team_name,team_id
0,1.0,Anup Kumar,Raider,16,169.0,/players/anup-kumar,1,29,/teams/u-mumba,5
1,2.0,Rahul Chaudhari,Raider,14,161.0,/players/rahul-chaudhari,1,81,/teams/telugu-titans,8
2,3.0,Maninder Singh,Raider,16,137.0,/players/maninder-singh,1,143,/teams/jaipur-pink-panthers,3
3,4.0,Ajay Thakur,Raider,15,127.0,/players/ajay-thakur,1,26,/teams/bengaluru-bulls,1
4,5.0,Kashiling Adake,Raider,14,122.0,/players/kashiling-adake,1,58,/teams/dabang-delhi-kc,2
5,5.0,Manjeet Chhillar,All Rounder,16,122.0,/players/manjeet-chhillar,1,69,/teams/bengaluru-bulls,1
6,7.0,Surjeet Narwal,Raider,14,120.0,/players/surjeet-narwal,1,118,/teams/dabang-delhi-kc,2
7,8.0,Sandeep Narwal,All Rounder,16,119.0,/players/sandeep-narwal,1,142,/teams/patna-pirates,6
8,9.0,Jasvir Singh,Raider,15,113.0,/players/jasvir-singh,1,52,/teams/jaipur-pink-panthers,3
9,10.0,Wazir Singh,Raider,12,111.0,/players/wazir-singh,1,124,/teams/puneri-paltan,7
10,10.0,Ravi Dalal,Raider,16,111.0,/players/ravi-dalal,1,92,/teams/patna-pirates,6
11,12.0,Nitin Madane,Raider,12,107.0,/players/nitin-madane,1,75,/teams/bengal-warriors,4
12,13.0,Rakesh Kumar,All Rounder,12,99.0,/players/rakesh-kumar,1,88,/teams/patna-pirates,6
13,14.0,Rajesh Narwal,All Rounder,16,98.0,/players/rajesh-narwal,1,86,/teams/jaipur-pink-panthers,3
14,15.0,Deepak Niwas Hooda,All Rounder,14,89.0,/players/deepak-niwas-hooda,1,41,/teams/telugu-titans,8
15,16.0,Sukesh Hegde,Raider,14,83.0,/players/sukesh-hegde,1,111,/teams/telugu-titans,8
16,17.0,Rishank Devadiga,Raider,16,77.0,/players/rishank-devadiga,1,94,/teams/u-mumba,5
17,18.0,Shabeer Bappu,Raider,10,67.0,/players/shabeer-bappu,1,105,/teams/u-mumba,5
18,19.0,Surender Nada,"Defender, left corner",15,61.0,/players/surender-nada,1,146,/teams/u-mumba,5
19,20.0,Mahesh Goud,Raider,13,59.0,/players/mahesh-goud,1,66,/teams/bengal-warriors,4
20,21.0,Jang Kun Lee,Raider,11,57.0,/players/jang-kun-lee,1,12,/teams/bengal-warriors,4
21,22.0,Jitesh Joshi,All Rounder,14,53.0,/players/jitesh-joshi,1,55,/teams/puneri-paltan,7
22,23.0,Dharmaraj Cheralathan,"Defender, right and left corner",16,52.0,/players/dharmaraj-cheralathan,1,42,/teams/bengaluru-bulls,1
23,24.0,Sunil Jaipal,Raider,13,50.0,/players/sunil-jaipal,1,141,/teams/bengal-warriors,4
24,24.0,Shrikant Tewthia,All Rounder,14,50.0,/players/shrikant-tewthia,1,107,/teams/dabang-delhi-kc,2
25,26.0,Jasmer Singh Gulia,All Rounder,14,45.0,/players/jasmer-singh-gulia,1,51,/teams/dabang-delhi-kc,2
26,27.0,Rajesh Mondal,Raider,15,44.0,/players/rajesh-mondal,1,85,/teams/bengaluru-bulls,1
27,27.0,Pawan Kumar Kadian,Raider,10,44.0,/players/pawan-kumar-kadian,1,156,/teams/u-mumba,5
28,29.0,Manoj Kumar,"Defender, left cover",14,42.0,/players/manoj-kumar,1,70,/teams/puneri-paltan,7
29,30.0,Rohit Rana,"Defender, left cover",15,38.0,/players/rohit-rana,1,96,/teams/jaipur-pink-panthers,3
30,31.0,Mohit Chhillar,"Defender, right corner",16,36.0,/players/mohit-chhillar,1,71,/teams/u-mumba,5
31,31.0,Parmod Narwal,All Rounder,16,36.0,/players/parmod-narwal,1,150,/teams/bengaluru-bulls,1
32,31.0,Ran Singh,All Rounder,10,36.0,/players/ran-singh,1,160,/teams/jaipur-pink-panthers,3
33,34.0,Nilesh Shinde,"Defender, right corner",14,35.0,/players/nilesh-shinde,1,73,/teams/bengal-warriors,4
34,35.0,Prashant Chavan,"Defender, right corner",15,33.0,/players/prashant-chavan,1,147,/teams/jaipur-pink-panthers,3
35,36.0,Kalimuthu Balamahendran,"Defender, left corner",14,32.0,/players/kalimuthu-balamahendran,1,56,/teams/puneri-paltan,7
36,37.0,Mahipal Narwal,All Rounder,5,31.0,/players/mahipal-narwal,1,67,/teams/puneri-paltan,7
37,38.0,Amit Singh Chhillar,"Defender, left corner",14,30.0,/players/amit-singh-chhillar,1,28,/teams/dabang-delhi-kc,2
38,39.0,Ravinder Pahal,"Defender, right corner",9,29.0,/players/ravinder-pahal,1,157,/teams/dabang-delhi-kc,2
39,40.0,D. Suresh Kumar,"Defender, right cover",12,28.0,/players/d--suresh-kumar,1,162,/teams/patna-pirates,6
40,40.0,Mangesh Bhagat,Raider,8,28.0,/players/mangesh-bhagat,1,168,/teams/puneri-paltan,7
41,40.0,Shyam Kumar Sah,"Defender, left cover",13,28.0,/players/shyam-kumar-sah,1,108,/teams/bengal-warriors,4
42,43.0,Sachin Khambe,"Defender, left corner",14,27.0,/players/sachin-khambe,1,98,/teams/bengal-warriors,4
43,43.0,Wasim Sajjad,"Defender, right corner",15,27.0,/players/wasim-sajjad,1,20,/teams/patna-pirates,6
44,43.0,Gurpreet Singh,"Defender, right corner",16,27.0,/players/gurpreet-singh,1,45,/teams/bengaluru-bulls,1
45,43.0,D. Gopu,"Defender, right and left corner",15,27.0,/players/d--gopu,1,152,/teams/telugu-titans,8
46,47.0,Girish Maruti Ernak,"Defender, left corner",12,25.0,/players/girish-maruti-ernak,1,161,/teams/patna-pirates,6
47,48.0,Mahendra Ganesh Rajput,Raider,8,21.0,/players/mahendra-ganesh-rajput,1,163,/teams/bengal-warriors,4
48,48.0,Deepak Kumar Dahiya,Raider,7,21.0,/players/deepak-kumar-dahiya,1,174,/teams/bengaluru-bulls,1
49,48.0,Pravin Niwale,Raider,7,21.0,/players/pravin-niwale,1,79,/teams/puneri-paltan,7
50,51.0,Vishal Mane,"Defender, right cover",16,20.0,/players/vishal-mane,1,123,/teams/u-mumba,5
51,51.0,Sachin Shingade,"Defender, left cover",10,20.0,/players/sachin-shingade,1,165,/teams/telugu-titans,8
53,54.0,Rajaguru Subramanian,"Defender, right cover",14,19.0,/players/rajaguru-subramanian,1,84,/teams/telugu-titans,8
54,55.0,Ram Kumar Sah,"Defender, left cover",9,18.0,/players/ram-kumar-sah,1,89,/teams/patna-pirates,6
